id,name,c_name,symbol,created_at,updated_at,exchange,ib_symbol,board_lot,data_source,qualified,stock_type,abbrev,ticker,ib_id
7993,RIGHTSIDE GROUP LTD-W/I,,NAME,2014-08-04 19:05:05 +0800,2014-08-06 10:18:01 +0800,NASDAQ,NAME,,ib,false,,cs9718,NAME,161589870
7992,LOCO HONG KONG HOLDINGS LTD,,8162.HK,2014-08-04 19:03:31 +0800,2014-08-06 10:18:01 +0800,SEHK,8162,,ib,false,,cs9717,8162.HK,162758659
7991,PARAGON OFFSHORE LTD,,PGN,2014-08-04 19:01:31 +0800,2014-08-06 10:18:01 +0800,NYSE,PGN,,ib,false,,cs9716,PGN,160983633
7990,ZOSANO PHARMA CORP,,ZSAN,2014-08-01 20:00:07 +0800,2014-08-06 10:18:01 +0800,NASDAQ,ZSAN,,ib,false,,cs9715,ZSAN,162427867
7989,VASCULAR BIOGENICS LTD,,VBLX,2014-08-01 19:59:48 +0800,2014-08-06 10:18:00 +0800,NASDAQ,VBLX,,ib,false,,cs9714,VBLX,162439895
7988,PAULSON CAPITAL CORP,,VBIV,2014-08-01 19:59:48 +0800,2014-08-06 10:18:00 +0800,NASDAQ,VBIV,,ib,false,,cs9713,VBIV,162227550
7987,TOBIRA THERAPEUTICS INC,,TBRA,2014-08-01 19:59:30 +0800,2014-08-06 10:18:00 +0800,NASDAQ,TBRA,,ib,false,,cs9712,TBRA,162313713
7986,SIRVA INC,,SRVA,2014-08-01 19:59:25 +0800,2014-08-06 10:18:00 +0800,NASDAQ,SRVA,,ib,false,,cs9711,SRVA,162677626
7985,BIO BLAST PHARMA LTD,,ORPN,2014-08-01 19:58:32 +0800,2014-08-06 10:18:00 +0800,NASDAQ,ORPN,,ib,false,,cs9710,ORPN,162427860
7984,MARINUS PHARMACEUTICALS INC,,MRNS,2014-08-01 19:58:13 +0800,2014-08-06 10:18:00 +0800,NASDAQ,MRNS,,ib,false,,cs9709,MRNS,162439890
7983,MACROCURE LTD,,MCUR,2014-08-01 19:58:03 +0800,2014-08-06 10:18:00 +0800,NASDAQ,MCUR,,ib,false,,cs9708,MCUR,162439884
7982,LOXO ONCOLOGY INC,,LOXO,2014-08-01 19:57:59 +0800,2014-08-06 10:18:00 +0800,NASDAQ,LOXO,,ib,false,,cs9707,LOXO,162677621
7981,LANTHEUS HOLDINGS INC,,LNTH,2014-08-01 19:57:58 +0800,2014-08-06 10:17:59 +0800,NASDAQ,LNTH,,ib,false,,cs9706,LNTH,162334421
7980,HEALTHEQUITY INC,,HQY,2014-08-01 19:57:30 +0800,2014-08-06 10:17:59 +0800,NASDAQ,HQY,,ib,false,,cs9705,HQY,162231790
7979,ENERGY FOCUS INC,,EFOI,2014-08-01 19:56:51 +0800,2014-08-06 10:17:59 +0800,NASDAQ,EFOI,,ib,false,,cs9704,EFOI,160872880
7978,AURIS MEDICAL AG,,EARS,2014-08-01 19:56:46 +0800,2014-08-06 10:17:59 +0800,NASDAQ,EARS,,ib,false,,cs9703,EARS,162677614
7977,COMPASS EMP US DISCOVERY 500,,CSF,2014-08-01 19:56:28 +0800,2014-08-06 10:17:59 +0800,NASDAQ,CSF,,ib,false,,cs9702,CSF,162677616
7976,CONTRAFECT CORP,,CFRXU,2014-08-01 19:56:13 +0800,2014-08-06 10:17:59 +0800,NASDAQ,CFRXU,,ib,false,,cs9701,CFRXU,162231787
7975,TIANLI AGRITECH INC,,ABAC,2014-08-01 19:55:29 +0800,2014-08-06 10:17:59 +0800,NASDAQ,ABAC,,ib,false,,cs9700,ABAC,162285669
7974,AVALANCHE BIOTECHNOLOGIES IN,,AAVL,2014-08-01 19:55:29 +0800,2014-08-06 10:17:59 +0800,NASDAQ,AAVL,,ib,false,,cs9699,AAVL,162439881
